23.112263,33.684689,-0.394717,178,559
24.497166,34.760895,1.353882,347,395
25.369452,31.289694,-1.695312,241,750
24.896797,35.06522,-1.634838,373,693
22.405724,47.152412,5.714975,501,314
22.734707,47.025482,2.170745,496,467
22.773563,46.85199,0.301207,491,551
24.39325,47.605927,0.686162,568,537
26.336876,55.057751,5.252209,688,400
27.737535,49.052578,2.165642,717,482
29.962679,48.423531,1.306163,812,519
27.754557,43.156242,-0.664105,696,604
28.649174,43.511337,-0.656066,746,605
29.981007,36.780075,-1.810031,845,710
30.697977,37.433044,-1.811519,898,706
31.71479,42.736496,-1.766203,918,672
33.796524,66.763863,2.802465,885,523
39.294388,58.018173,1.286803,1073,553
43.356369,67.166428,9.136157,1101,392
36.595211,42.267773,1.263244,1186,509
35.590282,36.351925,1.255635,1297,466
38.794041,40.979244,9.528038,1300,107
51.485245,47.538815,13.911287,1521,165
34.59605,30.432552,1.260822,1563,363
33.555058,28.359854,-1.743645,1692,830
41.100807,31.308413,1.555504,1843,436
27.118376,29.827188,-1.532031,380,788
25.168903,30.112883,-1.685474,130,774
23.085682,32.356339,-1.123248,100,642
26.136984,35.837116,-1.655764,504,695
26.919146,40.437263,-1.643936,631,668
